start,end,text,speaker
671.4770000000001,695.4770000000001," So, I know in Japan, guns are not allowed.",1
678.352,688.352, Yeah.,2
678.46,685.46, I guess.,0
685.46,698.46, Yeah.,0
695.4770000000001,698.4770000000001," So, police officers don't have guns . . .",1
698.46,700.46, I guess.,0
698.4770000000001,700.8170000000001," Hawkins, Hub晚上,",1
700.46,702.46, It depends.,0
702.46,713.46," Well, to probably make the discussion worth the point more precise, I think it's a matter of what people, the riot is targeting.",0
708.352,722.352, Yeah.,2
713.46,718.46," Like a riot, quote unquote, riot against the capital.",0
718.46,722.46, That's what we need to be quite.,0
722.46,726.46, Or like a riot or a number of that they weren't playing.,0
726.46,727.46, We're over.,0
727.46,735.46, But you know what I mean.,0
738.352,748.352, Yeah.,2
748.352,768.352, Yeah.,2
758.4770000000001,783.9970000000001," Yeah, that makes sense.",1
765.46,772.46, Yeah.,0
768.352,778.352, Yeah.,2
772.46,789.46, Yeah.,0
778.352,796.352, Yeah.,2
783.9970000000001,786.157," Yeah, I totally get what we're saying to Jane.",1
786.157,792.957," I think you're saying the same thing, similar things.",1
789.46,790.46, Yeah.,0
790.46,808.46, Yeah.,0
793.9970000000001,798.4770000000001, You can have different resources for different aspects.,1
805.517,809.917, What is the best way to deal with the problem of urban unrest and riding?,1
808.352,818.352, Yeah.,2
808.46,818.46, Yeah.,0
816.2370000000001,845.2570000000001," The rainy season processes, in general,",1
818.352,828.352, So yeah.,2
818.46,828.46, Yeah.,0
828.352,848.352, Yeah.,2
828.46,838.46, Yeah.,0
838.46,848.46, Yeah.,0
845.2570000000001,854.2570000000001," Yeah, okay.",1
848.46,856.46, Yeah.,0
854.2570000000001,856.2570000000001, I'm going to be a student.,1
856.2570000000001,858.2570000000001, I'm going to be a student.,1
856.46,866.46, Yeah.,0
858.2570000000001,860.2570000000001, I'm going to be a student.,1
858.352,868.352, Yeah.,2
860.2570000000001,862.2570000000001, I'm going to be a student.,1
862.2570000000001,864.2570000000001, I'm going to be a student.,1
864.2570000000001,866.2570000000001, I'm going to be a student.,1
866.2570000000001,868.2570000000001, I'm going to be a student.,1
866.46,874.46, Yeah.,0
868.2570000000001,870.2570000000001, I'm going to be a student.,1
870.2570000000001,872.2570000000001, I'm going to be a student.,1
872.2570000000001,874.2570000000001, I'm going to be a student.,1
874.2570000000001,876.2570000000001, I'm going to be a student.,1
874.46,892.46, Yeah.,0
876.2570000000001,878.2570000000001, I'm going to be a student.,1
878.2570000000001,880.2570000000001, I'm going to be a student.,1
880.2570000000001,882.2570000000001, I'm going to be a student.,1
882.2570000000001,884.2570000000001," When your student moved home and is already in her company,",1
884.2570000000001,888.2570000000001, how long has the data been eaten in the committee,1
888.2570000000001,890.2570000000001, and remaining time?,1
888.352,898.352, Yeah.,2
892.46,910.46, Yeah.,0
894.2570000000001,896.2570000000001, Totally irritated.,1
896.2570000000001,898.2570000000001, Correct.,1
898.2570000000001,900.2570000000001, Okay.,1
900.2570000000001,902.2570000000001, Declared to the last one.,1
902.2570000000001,904.2570000000001, Yeah.,1
904.2570000000001,906.2570000000001, For winning.,1
906.2570000000001,908.2570000000001, Thatotes my first exper..,1
908.2570000000001,926.657," Yeah, I need to read more about that. I actually was in LA. I used to live in LA and I was",1
910.46,928.46, Yeah.,0
918.352,928.352, Yeah.,2
926.657,932.2570000000001," there at a time. It's kind of funny because it's kind of like, was it for us? Like the LA",1
928.46,946.46, Yeah.,0
932.2570000000001,937.2170000000001, riots or something? Like in my head it was just like the Rodney King beating since like what we called it,1
938.0970000000001,943.777, because that's what it like was about. It was like yeah like the police are like beating a black man.,1
943.777,950.017, Like that's like how I remembered it and then yeah it was definitely a lot happening but um,1
946.46,964.46, Yeah.,0
948.352,958.352, Yeah.,2
952.017,955.937, yeah I think there's definitely a lot of like systemic. Yeah.,1
955.937,969.297, Yeah. Yeah. But I think I would also like yeah I would say that yeah it's definitely about,1
964.46,982.46, Yeah.,0
969.297,978.2570000000001, systemic issues and like preventing things from happening. Like if you grow up in poverty and you're,1
978.2570000000001,983.777, like consistently discriminated against you're just going to act like a certain way or you're,1
978.352,988.352, Yeah.,2
982.46,1004.46, Yeah.,0
983.777,992.657, going to do certain things that like put you in a situation where um when you have a collection,1
992.657,1000.177, of that then there's like an unrest then like then you feel like oh now we have to react to that,1
1000.177,1007.777, unrest. So that's a reaction rather than like being proactive to like prevent it like solving,1
1004.46,1022.46, Yeah.,0
1007.8570000000001,1019.297, systemic issues. Um yeah this is hard. It's like you know people who get into crime and so,1
1008.352,1018.352, Yeah.,2
1019.297,1024.177, forth they don't really want to do that right but then they have like no option like literally,1
1022.46,1040.46, Yeah.,0
1024.177,1031.217, no option and then they get in trouble for it and you're like you need something bad but like,1
1031.217,1035.297, society give them the option and like no safety net or support so,1
1038.352,1048.352, Yeah.,2
1040.46,1058.46, Yeah.,0
1058.46,1076.46, Yeah.,0
1062.1770000000001,1075.6970000000001, yeah. Do you believe police officers should be able to use all available force to maintain law,1
1068.352,1088.352, Yeah.,2
1075.6970000000001,1082.8970000000002, and order or some more fortitude use police violence.,1
1076.46,1094.46, Yeah.,0
1082.8970000000002,1092.8970000000002, so,1
1088.352,1108.352, Yeah.,2
1094.46,1112.46, Yeah.,0
1095.0570000000002,1099.5370000000003, Yes,1
1108.352,1126.352, Yeah.,2
1112.46,1130.46, Yeah.,0
1126.352,1136.352, Yeah.,2
1129.537,1131.537," So, I'm going to start with the first one,",1
1130.46,1148.46, Yeah.,0
1131.537,1133.537," and then I'm going to start with the first one,",1
1133.537,1135.537," and then I'm going to start with the first one,",1
1135.537,1137.537," and then I'm going to start with the first one,",1
1137.537,1139.537," and then I'm going to start with the first one,",1
1139.537,1141.537," and then I'm going to start with the first one,",1
1141.537,1143.537," and then I'm going to start with the first one,",1
1143.537,1145.537," and then I'm going to start with the first one,",1
1145.537,1147.537," and then I'm going to start with the first one,",1
1147.537,1149.537," and then I'm going to start with the first one,",1
1148.46,1166.46, Yeah.,0
1149.537,1151.537," and then I'm going to start with the first one,",1
1151.537,1153.537," and then I'm going to start with the first one,",1
1153.537,1155.537," and then I'm going to start with the first one,",1
1155.537,1157.537," and then I'm going to start with the first one,",1
1156.352,1166.352, Yeah.,2
1157.537,1158.837," and then I'm going to start with the first one,",1
1158.837,1161.537," and then I'm going to start with the first one,",1
1161.537,1163.537," and then I'm going to start with the first one,",1
1163.537,1165.537, and then I'm going to start with the last one.,1
1165.537,1167.537, I was worried about the Internet.,1
1166.352,1176.352, Right.,2
1166.46,1184.46, Yeah.,0
1167.537,1169.537, The Internet was an expresive concept,1
1169.537,1171.537," a policies,",1
1171.537,1173.537, and I found a voted this guys,1
1173.537,1175.537, with this person today.,1
1175.537,1179.537, They were comparing to the frTom Pass and the coverage,1
1179.537,1181.537, of the website for about five hours,1
1181.537,1183.537," all,",1
1183.537,1185.457, so they say the most important thing,1
1184.46,1202.46, Yeah.,0
1185.457,1187.457, is if the DevOps leaders made use of the workforce,1
1186.352,1196.352, Yeah.,2
1187.457,1189.457, That's what you see every day.,1
1190.257,1192.057, Some a little bit on a break right now.,1
1202.46,1220.46, Yeah.,0
1216.352,1234.352, Yeah.,2
1217.457,1219.457, I'm not sure if I'm going to be able to do that.,1
1219.457,1221.457, I'm not sure if I'm going to be able to do that.,1
1220.46,1238.46, Yeah.,0
1221.457,1223.457, I'm not sure if I'm going to be able to do that.,1
1223.457,1225.457, I'm not sure if I'm going to be able to do that.,1
1225.457,1227.457, I'm not sure if I'm going to be able to do that.,1
1227.457,1229.457, I'm not sure if I'm going to be able to do that.,1
1229.457,1231.457, I'm not sure if I'm going to be able to do that.,1
1231.457,1233.457, I'm not sure if I'm going to be able to do that.,1
1233.457,1235.457, I'm not sure if I'm going to be able to do that.,1
1235.457,1237.457, I'm not sure if I'm going to be able to do that.,1
1237.457,1239.457, I'm not sure if I'm going to be able to do that.,1
1238.46,1260.46, Yeah.,0
1239.457,1241.457, I'm not sure if I'm going to be able to do that.,1
1241.457,1243.457, I'm not sure if I'm going to be able to do that.,1
1243.457,1245.457, I'm not sure if I'm going to be able to do that.,1
1245.457,1247.457, I'm not sure if I'm going to be able to do that.,1
1246.352,1256.352, Yeah.,2
1247.457,1249.457, I'm not sure if I'm going to be able to do that.,1
1249.457,1251.457, I'm not sure if I'm going to be able to do that.,1
1251.457,1253.457, I'm not sure if I'm going to be able to do that.,1
1253.457,1255.457, I'm not sure if I'm going to be able to do that.,1
1255.457,1257.457, I'm not sure if I'm going to be able to do that.,1
1257.457,1259.457, I'm not sure if I'm going to be able to do that.,1
1259.457,1261.457, I'm not sure if I'm going to be able to do that.,1
1260.46,1267.46, Yeah.,0
1261.457,1263.457, I'm not sure if I'm going to be able to do that.,1
1263.457,1265.457, I'm not sure if I'm going to be able to do that.,1
1265.457,1267.457, I'm not sure if I'm going to be able to do that.,1
1267.457,1269.457, I'm not sure if I'm going to be able to do that.,1
1267.46,1273.46, Yeah.,0
1269.457,1271.457, I'm not sure if I'm going to be able to do that.,1
1271.457,1273.457, I'm not sure if I'm going to be able to do that.,1
1273.457,1275.457, I'm not sure if I'm going to be able to do that.,1
1275.457,1277.457, I'm not sure if I'm going to be able to do that.,1
1276.352,1286.352, Yeah.,2
1277.457,1279.457, I'm not sure if I'm going to be able to do that.,1
1279.457,1281.457, I'm not sure if I'm going to be able to do that.,1
1281.457,1283.457, I'm not sure if I'm going to be able to do that.,1
1283.457,1285.457, I'm not sure if I'm going to be able to do that.,1
1285.457,1287.457, I'm not sure if I'm going to be able to do that.,1
1286.352,1294.352, Yeah.,2
1287.457,1289.457, I'm not sure if I'm going to be able to do that.,1
1289.457,1291.457, I'm not sure if I'm going to be able to do that.,1
1291.457,1293.457, I'm not sure if I'm going to be able to do that.,1
1293.457,1295.457, I'm not sure if I'm going to be able to do that.,1
1294.352,1304.352, Yeah.,2
1295.457,1297.457, I'm not sure if I'm going to be able to do that.,1
1297.457,1299.457, I'm not sure if I'm going to be able to do that.,1
1299.457,1301.457, I'm not sure if I'm going to be able to do that.,1
1301.457,1303.457, I'm not sure if I'm going to be able to do that.,1
1303.457,1305.457, I'm not sure if I'm going to be able to do that.,1
1304.352,1308.352, And I'm just thinking about like instances where there's like you can see clear,2
1305.457,1307.457, I'm not sure if I'm going to be able to do that.,1
1307.457,1309.457, I'm not sure if I'm going to be able to do that.,1
1308.352,1314.352, that there's like a clear disability between the way at least react to the similar situations.,2
1309.457,1311.457, I'm not sure if I'm going to be able to do that.,1
1311.457,1313.457, I'm not sure if I'm going to be able to do that.,1
1313.457,1315.457, I'm not sure if I'm going to be able to do that.,1
1314.352,1320.352, Like when there are unfortunate mass shootings in the shooter is white.,2
1315.457,1317.457, I'm not sure if I'm going to be able to do that.,1
1317.457,1319.457, I'm not sure if I'm going to be able to do that.,1
1319.457,1321.457, I'm not sure if I'm going to be able to do that.,1
1320.352,1326.352," Sometimes they're they're able to be, you know, export it out of the vicinity into a cop car.",2
1321.457,1323.457, I'm not sure if I'm going to be able to do that.,1
1323.457,1325.457, I'm not sure if I'm going to be able to do that.,1
1325.457,1327.457, I'm not sure if I'm going to be able to do that.,1
1326.352,1330.352," Whereas if it is, you know, black unrest people.",2
1327.457,1329.457, I'm not sure if I'm going to be able to do that.,1
1329.457,1331.457, I'm not sure if I'm going to be able to do that.,1
1330.352,1338.352, Yeah.,2
1331.457,1333.457, I'm not sure if I'm going to be able to do that.,1
1333.457,1335.457, I'm not sure if I'm going to be able to do that.,1
1335.457,1337.457, I'm not sure if I'm going to be able to do that.,1
1337.457,1339.457, I'm not sure if I'm going to be able to do that.,1
1338.352,1340.352, Yeah.,2
1339.457,1341.457, I'm not sure if I'm going to be able to do that.,1
1340.352,1350.352, So it's just interesting.,2
1341.457,1343.457, I'm not sure if I'm going to be able to do that.,1
1343.457,1345.457, I'm not sure if I'm going to be able to do that.,1
1345.457,1347.457, I'm not sure if I'm going to be able to do that.,1
1347.457,1349.457, I can put that back on currently.,1
1349.457,1351.457, I can put that back on currently.,1
1350.352,1360.352, Yeah.,2
1351.457,1353.457, Do the certs.,1
1353.457,1355.457, If I just let those data return to the ballot all at the emitters.,1
1355.457,1357.457, They would prevent it from dropping the ballots.,1
1357.457,1359.457, They would prevent it from dropping the ballots.,1
1359.457,1361.457, They would prevent it from directing the ballots.,1
1360.352,1370.352, Yeah.,2
1361.457,1363.457, They would prevent it from Office of Status.,1
1363.457,1365.457, They would prevent it from�� and Leben of wording.,1
1365.457,1367.457, They would prevent it from making a martyr wish.,1
1367.457,1369.457, They would prevent it from dropping the ballots.,1
1369.457,1371.457, They would prevent it from making a martyr wish.,1
1370.352,1380.352, Yeah.,2
1371.457,1373.457, I agree.,1
1373.457,1375.457, Aigre.,1
1375.457,1404.4170000000001, I'm trying to close all my tabs.,1
1380.352,1390.352, Yeah.,2
1390.352,1400.352, Yeah.,2
1400.352,1410.352, Yeah.,2
1404.4170000000001,1424.497, There we go.,1
1410.352,1420.352, Yeah.,2
1420.352,1432.352, I do appreciate that I'm in a group of people who have similar views as I do.,2
1424.497,1453.777," Yeah, when I was answering the questions in the beginning, I was like, oh my God, I'm",1
1432.352,1442.352," I'm not going to be a group of people who are like, I'm not going to be a group of people.",2
1442.352,1446.352, Because I couldn't imagine today having to like defend some of my stances.,2
1446.352,1454.352," So even those who have any conversation, I am appreciative that you two are part of the group.",2
1454.352,1464.352, Yeah.,2
1454.6570000000002,1462.897, maybe they did on purpose because it'd be like a little too yeah like almost unethical,1
1462.897,1468.737, I feel like to put you in such a stressful situation as a researcher I don't think they would,1
1464.352,1474.352, Yeah.,2
1468.737,1474.097, want to do that because it was random I hope it wasn't random yeah that would have been hard,1
1474.097,1498.657, depends I would have just said nothing I would have just like does my this opinion but cool,1
1474.352,1492.352, Yeah.,2
1492.352,1510.352, Yeah.,2
1499.217,1504.6570000000002, could I'm cool with whatever you say you know and just not like you can't change anyone's mind,1
1504.6570000000002,1511.0570000000002, that's what I learned you can just like be respectful and just like listen to them and,1
1510.352,1528.352, Yeah.,2
1511.057,1527.6970000000001, maybe that,1
1528.177,1533.297, yeah so you would say something I think I've tried before and then it was like,1
1528.352,1550.352, Yeah.,2
1533.777,1540.897, yeah like I think in the anime me feel like worse than if I had said nothing but I totally,1
1540.897,1549.537, understand your side as well I think I would say like my perspective I wouldn't try to like refute,1
1549.537,1556.097, you know that's what I'm trying to say but I totally get either way how about you James you know,1
1550.352,1578.352, Yeah.,2
1556.097,1585.937, like how would you handle it yeah and then I'm always kind of like even I'm like,1
1578.352,1602.352, Yeah.,2
1586.577,1592.657, wise it up to so I consider myself minority like a refugee background and like,1
1592.657,1597.057, little and come on all that and like why is it always up to like the word I might know where,1
1597.057,1603.377, I use pop words I didn't like to do that like you should do that you should do the learning,1
1602.352,1608.352, Yeah.,2
1606.897,1610.897, bye thank you,1
